tank,date,nobugs,ph,doperc,domg,cond,turb,bchlorraw,wchlor,rsurfarea,bchlor,trt
1,20-Jun-16,55,8.23,79,6.47,1211,1.1,98.21,5.22,51.8171,1.895320271,Control
1,28-Jun-16,186,7.85,67,5.77,1428,1.1,53.66,4.97,28.6206,1.874873343,Control
1,4-Jul-16,132,8.77,125.4,10.6,1426,0.9,56.04,2.36,21.19797,2.643649368,Control
1,12-Jul-16,16,9.1,176.5,12.61,1442,1.6,39.72,1.54,25.40458,1.563497606,Control
1,18-Jul-16,16,8.32,108.6,7.84,1155,1.3,16.14,2.85,49.40695,0.326674688,Control
1,26-Jul-16,23,7.94,38.1,3.11,1324,1.5,227.73,2.86,21.4949,10.59460616,Control
1,2-Aug-16,66,8.37,88.3,7.42,1411,1.4,43.56,3.6,42.14,1.0336972,Control
2,20-Jun-16,40,8.21,102.5,8.5,1228,1,9.47,4.44,33.3914,0.283605958,Atrazine
2,28-Jun-16,56,7.98,69.6,6,1528,1,92.8,6.09,32.82799,2.826855985,Atrazine
2,4-Jul-16,85,9.95,155.5,13.18,1467,0.9,54.65,3.78,37.03459,1.475647496,Atrazine
2,12-Jul-16,26,9.55,210,14.85,1463,5.3,26.65,6.41,50.80915,0.524511825,Atrazine
2,18-Jul-16,12,8.99,153,11.09,1181,2.8,20.94,2.58,37.36452,0.560424702,Atrazine
2,26-Jul-16,16,7.67,40.3,3.3,1366,1.3,28.26,9.49,28.2419,1.000640892,Atrazine
2,2-Aug-16,104,7.78,63.9,5.38,1463,1.8,25.4,4.25,31.25,0.8128,Atrazine
3,20-Jun-16,47,8.12,85.8,7.05,1099,0.9,80.5,3.58,39.8134,2.021932314,Selenium
3,28-Jun-16,74,7.98,80.5,6.88,1395,2.6,45.17,8.87,62.7691,0.719621597,Selenium
3,4-Jul-16,78,9.08,130.9,11.01,1371,1.7,25.11,2.23,16.16655,1.553207085,Selenium
3,12-Jul-16,7,8.31,108.5,7.8,1407,3.5,9.34,2.14,16.82641,0.555079782,Selenium
3,18-Jul-16,23,8.41,121.7,8.74,1258,0.9,19.44,2.95,33.15792,0.586285268,Selenium
3,26-Jul-16,33,8.55,71.2,5.77,1385,1,71.64,6.82,25.5175,2.807485059,Selenium
3,2-Aug-16,26,8.29,92.9,7.77,1488,0.9,13.18,2.97,30.72,0.429036458,Selenium
4,20-Jun-16,59,8.04,84.4,6.92,1211,0.7,114.28,3.03,35.8073,3.191527985,Control
4,28-Jun-16,158,7.68,49.1,4.14,1459,1.5,56.7,5.37,36.70466,1.544762981,Control
4,4-Jul-16,146,8.2,76.3,6.47,1424,2.7,9.66,2.84,57.65519,0.167547796,Control
4,12-Jul-16,26,9.04,165.4,12.12,1436,1.4,267.3,1.84,26.88926,9.940771892,Control
4,18-Jul-16,5,9.04,147.5,10.7,1235,0.9,39.1,1.85,34.97253,1.118020343,Control
4,26-Jul-16,19,8.45,51.6,4.16,1379,1.1,64.65,5.09,31.4258,2.057226865,Control
4,2-Aug-16,25,8.81,79.2,6.62,1455,1.3,15.7,4.67,35.36,0.444004525,Control
5,20-Jun-16,50,7.73,50.7,4.14,1188,1,115.75,7.03,36.6139,3.161367677,Selenium
5,28-Jun-16,212,7.9,80.3,6.83,1453,1.2,132.88,4.86,34.89005,3.808535671,Selenium
5,4-Jul-16,189,8.12,83.7,7.01,1463,1.4,66.84,6.64,24.99216,2.674438704,Selenium
5,12-Jul-16,29,8.79,148.6,10.83,1456,1.6,6.85,2.69,22.9301,0.298733978,Selenium
5,18-Jul-16,46,9.35,175.1,12.85,1289,0.8,24.64,2,36.95211,0.666809013,Selenium
5,2-Aug-16,54,8.26,82.4,6.87,1515,1.1,18.12,3.58,39.08,0.463664278,Selenium
6,20-Jun-16,12,7.93,83.1,6.78,1108,1.1,105.43,9.5,38.8327,2.714979901,Control
6,28-Jun-16,62,7.72,55.2,4.66,1382,1.6,169.49,9.96,52.78873,3.210723198,Control
