tank,trt,date,nobugs,ph,doperc,domg,cond,turb,bchlorraw,wchlor,rsurfarea,bchlor
1,0,20-Jun-16,55,8.23,79,6.47,1211,1.1,98.21,5.22,51.8171,1.895320271
1,0,28-Jun-16,186,7.85,67,5.77,1428,1.1,53.66,4.97,28.6206,1.874873343
1,0,4-Jul-16,132,8.77,125.4,10.6,1426,0.9,56.04,2.36,21.19797,2.643649368
1,0,12-Jul-16,16,9.1,176.5,12.61,1442,1.6,39.72,1.54,25.40458,1.563497606
1,0,18-Jul-16,16,8.32,108.6,7.84,1155,1.3,16.14,2.85,49.40695,0.326674688
1,0,26-Jul-16,23,7.94,38.1,3.11,1324,1.5,227.73,2.86,21.4949,10.59460616
1,0,2-Aug-16,66,8.37,88.3,7.42,1411,1.4,43.56,3.6,42.14,1.0336972
4,0,20-Jun-16,59,8.04,84.4,6.92,1211,0.7,114.28,3.03,35.8073,3.191527985
4,0,28-Jun-16,158,7.68,49.1,4.14,1459,1.5,56.7,5.37,36.70466,1.544762981
4,0,4-Jul-16,146,8.2,76.3,6.47,1424,2.7,9.66,2.84,57.65519,0.167547796
4,0,12-Jul-16,26,9.04,165.4,12.12,1436,1.4,267.3,1.84,26.88926,9.940771892
4,0,18-Jul-16,5,9.04,147.5,10.7,1235,0.9,39.1,1.85,34.97253,1.118020343
4,0,26-Jul-16,19,8.45,51.6,4.16,1379,1.1,64.65,5.09,31.4258,2.057226865
4,0,2-Aug-16,25,8.81,79.2,6.62,1455,1.3,15.7,4.67,35.36,0.444004525
6,0,20-Jun-16,12,7.93,83.1,6.78,1108,1.1,105.43,9.5,38.8327,2.714979901
6,0,28-Jun-16,62,7.72,55.2,4.66,1382,1.6,169.49,9.96,52.78873,3.210723198
6,0,4-Jul-16,117,8.61,120,10,1355,0.9,33.17,4.32,22.35273,1.483935072
6,0,12-Jul-16,21,9.4,210.7,15.65,1282,1.5,53.63,1.61,28.29146,1.89562504
6,0,18-Jul-16,2,9.61,203.5,14.43,1113,3.4,120.47,3.94,24.57975,4.901188987
6,0,26-Jul-16,42,8.21,48.2,3.87,1296,1.2,164.62,5.32,20.00198,8.230185212
6,0,2-Aug-16,49,8.03,54.8,4.61,1451,0.9,90.16,3.23,25.02,3.603517186
11,0,20-Jun-16,25,7.82,73.6,5.94,1073,0.8,2753,7.84,47.571,57.87139223
11,0,28-Jun-16,9,7.58,47.7,3.99,1356,1.6,22.99,9.46,33.40537,0.688212704
11,0,4-Jul-16,351,8.3,103.9,8.6,1328,1.1,5.25,4.18,26.72429,0.196450495
11,0,12-Jul-16,17,8.96,160.3,11.7,1350,1.1,41.84,2029,33.98274,1.231213257
11,0,18-Jul-16,15,8.87,128.5,9.23,1203,1.1,166.45,3.06,36.37473,4.575978983
11,0,26-Jul-16,52,7.92,44.4,3.61,1347,1.3,103.19,4.3,24.09131,4.28328721
11,0,2-Aug-16,93,7.99,54.5,4.51,1442,1.7,53.23,7.8,40.53,1.313348137
17,0,20-Jun-16,4,8.69,111.4,8.8,1097,1,73.25,2.23,38.807,1.887546061
17,0,28-Jun-16,60,8.37,189.6,7.35,1309,1.2,136.36,4.49,52.95364,2.575082657
17,0,4-Jul-16,145,8.76,120.9,9.75,1271,1.6,106.78,3.38,29.77614,3.586092757
17,0,12-Jul-16,92,8.78,150.1,10.76,1300,0.8,75.78,2.82,41.90105,1.808546564
17,0,18-Jul-16,48,8.86,138.5,9.87,1109,0.8,157.74,3.55,30.18855,5.22515987
17,0,26-Jul-16,10,8.12,51.3,4.14,1286,0.8,19.29,2.34,25.1324,0.767535134
17,0,2-Aug-16,149,8.23,76.1,6.24,1370,1,71.6,5.06,63.7,1.124018838
19,0,20-Jun-16,26,8.85,134.9,10.66,1258,0.7,125.67,8.09,43.5301,2.886967868
19,0,4-Jul-16,75,8.56,116.4,9.28,145.7,0.9,12.75,2.96,28.37394,0.449355994
19,0,12-Jul-16,57,8.61,135.8,10.02,1477,1.3,142.96,7.41,38.35431,3.727351633
19,0,18-Jul-16,33,8.68,131.1,9.41,1290,4,15.54,7.46,16.82641,0.92354816
19,0,26-Jul-16,24,8.27,68.9,5.56,1405,0.8,12.52,2.83,32.15164,0.389404708
9,1,20-Jun-16,46,8.18,94.5,7.85,1157,0.5,32.47,3.03,40.4474,0.802771006
9,1,28-Jun-16,69,7.63,52.2,4.35,1375,1,18.34,4.98,52.54128,0.349058873
9,1,4-Jul-16,107,8.22,98.8,8.18,1298,1.6,146.75,4.95,41.40616,3.544158647
9,1,12-Jul-16,31,8.53,121.9,9.02,1403,1.9,40.23,7.24,16.99137,2.36767253
9,1,18-Jul-16,1,8.15,90,6.46,1240,1,33.6,3.53,20.95053,1.603778043
9,1,26-Jul-16,12,7.75,29.1,2.39,1387,1.4,10.26,3.09,26.0232,0.39426358
9,1,2-Aug-16,71,7.86,61.3,5.08,1514,1.3,28.74,2.71,42.56,0.675281955
10,1,20-Jun-16,15,7.95,64.9,5.22,1045,0.6,67.72,2.75,44.5265,1.520892053
10,1,28-Jun-16,102,7.57,42.6,3.56,1295,1.1,194.53,5.35,44.78794,4.343356716
10,1,4-Jul-16,148,8.2,97.2,8.07,1297,1.3,38.03,3.53,27.96153,1.360082943
10,1,12-Jul-16,4,8.37,104.8,7.69,1336,2.4,44.26,9.8,38.43679,1.151500945
10,1,18-Jul-16,21,8.17,86,6.2,1183,1.7,102.09,4.71,33.81778,3.018826191
10,1,26-Jul-16,17,7.97,42.1,3.43,1343,2.4,158.25,14.83,39.2199,4.034941446
10,1,2-Aug-16,57,7.77,35.8,2.97,1438,3.1,19.47,12.38,41.14,0.473262032
14,1,20-Jun-16,36,8.65,111.2,8.86,1108,2.2,66.29,2.11,50.516,1.312257503
14,1,28-Jun-16,5,8.42,100.9,8.34,1320,206,4246,3.2,49.48943,85.79609828
14,1,4-Jul-16,58,8.45,109.7,9.02,1304,2.2,21.93,1.59,15.75414,1.392015051
14,1,12-Jul-16,18,8.27,119.3,8.54,1367,1.8,47.48,4.27,30.76593,1.543265554
14,1,18-Jul-16,1,8.67,134.5,9.59,1143,1.8,113.26,7.52,36.5397,3.099642307
