tank,trt,date,nobugs
1,1,1,55
2,2,1,40
3,3,1,47
4,1,1,59
5,3,1,50
6,1,1,12
7,2,1,18
8,3,1,1
9,4,1,46
10,4,1,15
11,1,1,25
12,3,1,18
13,2,1,19
14,4,1,36
15,4,1,36
16,2,1,7
17,1,1,4
18,2,1,19
19,1,1,26
20,3,1,59
21,2,1,68
22,4,1,19
23,3,1,1
24,4,1,15
1,1,2,186
2,2,2,56
3,3,2,74
4,1,2,158
5,3,2,212
6,1,2,62
7,2,2,68
8,3,2,64
9,4,2,69
10,4,2,102
11,1,2,9
12,3,2,140
13,2,2,40
14,4,2,5
15,4,2,243
16,2,2,194
17,1,2,60
18,2,2,33
20,3,2,162
21,2,2,55
22,4,2,140
23,3,2,38
1,1,3,132
2,2,3,85
3,3,3,78
4,1,3,146
5,3,3,189
6,1,3,117
7,2,3,103
8,3,3,152
9,4,3,107
10,4,3,148
11,1,3,351
12,3,3,142
13,2,3,59
14,4,3,58
15,4,3,238
16,2,3,201
17,1,3,145
18,2,3,66
19,1,3,75
20,3,3,59
21,2,3,40
22,4,3,94
23,3,3,21
24,4,3,43
1,1,4,16
2,2,4,26
3,3,4,7
4,1,4,26
5,3,4,29
6,1,4,21
7,2,4,55
8,3,4,50
9,4,4,31
10,4,4,4
11,1,4,17
12,3,4,33
13,2,4,18
14,4,4,18
15,4,4,55
16,2,4,55
17,1,4,92
18,2,4,126
19,1,4,57
20,3,4,17
21,2,4,41
22,4,4,26
23,3,4,28
24,4,4,12
1,1,5,16
2,2,5,12
3,3,5,23
4,1,5,5
5,3,5,46
6,1,5,2
7,2,5,61
8,3,5,23
9,4,5,1
10,4,5,21
11,1,5,15
12,3,5,17
13,2,5,12
14,4,5,1
15,4,5,20
16,2,5,13
17,1,5,48
18,2,5,20
19,1,5,33
20,3,5,7
21,2,5,13
22,4,5,16
23,3,5,45
24,4,5,10
1,1,6,23
2,2,6,16
3,3,6,33
4,1,6,19
6,1,6,42
7,2,6,15
8,3,6,39
9,4,6,12
10,4,6,17
11,1,6,52
12,3,6,39
13,2,6,7
14,4,6,13
15,4,6,12
16,2,6,24
17,1,6,10
18,2,6,15
19,1,6,24
20,3,6,11
21,2,6,5
22,4,6,18
23,3,6,19
1,1,7,66
2,2,7,104
3,3,7,26
4,1,7,25
5,3,7,54
6,1,7,49
7,2,7,36
8,3,7,19
9,4,7,71
10,4,7,57
11,1,7,93
12,3,7,185
13,2,7,30
14,4,7,29
15,4,7,54
16,2,7,126
17,1,7,149
18,2,7,32
19,1,7,31
20,3,7,28
21,2,7,25
22,4,7,5
23,3,7,18
24,4,7,11
